,Dorm,Network,PID,In_degree,Out_degree,Degree_centrality,in_degree_centrality,out_degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality,local_reaching_centrality
9,Alondra,NegEmoSupp,eaZChV6Zzv,0,3,0.058823529,0,0.058823529,5.65E-18,0,0,0,0,0.137254902
10,Alondra,NegEmoSupp,EyIKgswV5h,1,1,0.039215686,0.019607843,0.019607843,0.236579195,0.044817927,0,0,2.5,0.196078431
11,Alondra,NegEmoSupp,EZZAfoTzU5,1,2,0.058823529,0.019607843,0.039215686,8.49E-07,0.031372549,0.001764706,0.001764706,2.083333333,0.039215686
12,Alondra,NegEmoSupp,f8wFyStuKA,0,5,0.098039216,0,0.098039216,5.65E-18,0,0,0,0,0.098039216
13,Alondra,NegEmoSupp,FmEtaLdyUP,2,3,0.098039216,0.039215686,0.058823529,0.34844186,0.052287582,0.001568627,0.001568627,3,0.196078431
14,Alondra,NegEmoSupp,GRS7z5mppv,0,1,0.019607843,0,0.019607843,5.65E-18,0,0,0,0,0.019607843
15,Alondra,NegEmoSupp,iltQcVLnHa,0,5,0.098039216,0,0.098039216,5.65E-18,0,0,0,0,0.098039216
16,Alondra,NegEmoSupp,jnK5jx7q06,1,3,0.078431373,0.019607843,0.058823529,1.98E-16,0.019607843,0.001176471,0.001176471,1,0.078431373
17,Alondra,NegEmoSupp,mU5Bm0IA5I,0,1,0.019607843,0,0.019607843,5.65E-18,0,0,0,0,0.019607843
18,Alondra,NegEmoSupp,MVj5KiRVic,0,2,0.039215686,0,0.039215686,5.65E-18,0,0,0,0,0.117647059
19,Alondra,NegEmoSupp,Nv6B58pDzQ,4,6,0.196078431,0.078431373,0.117647059,0.500343123,0.078431373,0.010980392,0.010980392,4,0.196078431
20,Alondra,NegEmoSupp,ORnEt9oGFG,1,3,0.078431373,0.019607843,0.058823529,0.236579195,0.044817927,0,0,2.5,0.196078431
21,Alondra,NegEmoSupp,Otj5ACG4Eq,0,6,0.117647059,0,0.117647059,5.65E-18,0,0,0,0,0.196078431
22,Alondra,NegEmoSupp,QQfFuXBOBe,3,2,0.098039216,0.058823529,0.039215686,1.32E-05,0.070028011,0.001764706,0.001764706,4,0.117647059
23,Alondra,NegEmoSupp,RTkwouHacL,2,4,0.117647059,0.039215686,0.078431373,3.90E-16,0.039215686,0.002352941,0.002352941,2,0.078431373
24,Alondra,NegEmoSupp,SlopF1tw7Q,2,1,0.058823529,0.039215686,0.019607843,3.56E-15,0.044117647,0.000784314,0.000784314,2.5,0.019607843
25,Alondra,NegEmoSupp,vcM4I7ahKq,1,6,0.137254902,0.019607843,0.117647059,8.98E-07,0.029411765,0.002941176,0.002941176,1.833333333,0.235294118
26,Alondra,NegEmoSupp,x4uS8bnzwc,1,3,0.078431373,0.019607843,0.058823529,0.236579195,0.044817927,0.004705882,0.004705882,2.5,0.196078431
27,Alondra,NegEmoSupp,XzE2YEAeBB,0,1,0.019607843,0,0.019607843,5.65E-18,0,0,0,0,0.019607843
28,Alondra,NegEmoSupp,zCezlMpAcO,2,4,0.117647059,0.039215686,0.078431373,9.46E-07,0.044117647,0.004901961,0.004901961,2.5,0.235294118
29,Alondra,NegEmoSupp,2UK6dKygn0,2,0,0.039215686,0.039215686,0,3.90E-16,0.039215686,0,0,2,0
30,Alondra,NegEmoSupp,2t2sqsHVqv,3,0,0.058823529,0.058823529,0,1.24E-05,0.087344029,0,0,5,0
31,Alondra,NegEmoSupp,3gEiO3Vvhw,5,0,0.098039216,0.098039216,0,1.32E-05,0.130718954,0,0,7.5,0
32,Alondra,NegEmoSupp,7WTyBtV0WF,2,0,0.039215686,0.039215686,0,6.73E-15,0.044117647,0,0,2.5,0
33,Alondra,NegEmoSupp,7dUYGwkxk4,7,0,0.137254902,0.137254902,0,1.75E-06,0.140056022,0,0,8.333333333,0
34,Alondra,NegEmoSupp,95dslV1gqt,2,0,0.039215686,0.039215686,0,1.32E-05,0.064171123,0,0,3.833333333,0
35,Alondra,NegEmoSupp,AokPyCa4Vf,2,0,0.039215686,0.039215686,0,4.05E-14,0.044817927,0,0,2.833333333,0
36,Alondra,NegEmoSupp,DVHOpKeyEt,2,0,0.039215686,0.039215686,0,3.56E-15,0.044117647,0,0,2.5,0
37,Alondra,NegEmoSupp,H5J3FP5lNK,1,0,0.019607843,0.019607843,0,1.98E-16,0.019607843,0,0,1,0
38,Alondra,NegEmoSupp,KG9AbMggIn,2,0,0.039215686,0.039215686,0,6.73E-15,0.052287582,0,0,3,0
39,Alondra,NegEmoSupp,PKpZd7lFZi,4,0,0.078431373,0.078431373,0,7.74E-16,0.078431373,0,0,4,0
40,Alondra,NegEmoSupp,QaBLfwCjtz,4,0,0.078431373,0.078431373,0,9.46E-07,0.096078431,0,0,5.5,0
41,Alondra,NegEmoSupp,VcecqccyWX,1,0,0.019607843,0.019607843,0,6.54E-15,0.035294118,0,0,2,0
42,Alondra,NegEmoSupp,ZkLlaLrQkh,2,0,0.039215686,0.039215686,0,0.236579195,0.070588235,0,0,4,0
43,Alondra,NegEmoSupp,ZxMOXSshup,1,0,0.019607843,0.019607843,0,1.98E-16,0.019607843,0,0,1,0
44,Alondra,NegEmoSupp,d3eaPDsH4T,5,0,0.098039216,0.098039216,0,8.01E-07,0.112941176,0,0,7.783333333,0
45,Alondra,NegEmoSupp,f6EpLOm0M4,1,0,0.019607843,0.019607843,0,0.052892461,0.039215686,0,0,2.583333333,0
46,Alondra,NegEmoSupp,fVMsYognoS,1,0,0.019607843,0.019607843,0,0.111862666,0.040849673,0,0,2.5,0
47,Alondra,NegEmoSupp,jde0LtXmui,4,0,0.078431373,0.078431373,0,0.591098798,0.088235294,0,0,5,0
48,Alondra,NegEmoSupp,kFV9OXo1w9,1,0,0.019607843,0.019607843,0,1.23E-05,0.054298643,0,0,3.166666667,0
49,Alondra,NegEmoSupp,v62We6ItmL,1,0,0.019607843,0.019607843,0,1.98E-16,0.019607843,0,0,1,0
50,Alondra,NegEmoSupp,xQMrntmJiO,1,0,0.019607843,0.019607843,0,1.98E-16,0.019607843,0,0,1,0
51,Alondra,NegEmoSupp,yO9lkWPQCC,2,0,0.039215686,0.039215686,0,2.41E-05,0.064171123,0,0,3.833333333,0
0,Alondra,Persuasive,1PyAtD1gRL,7,3,0.212765957,0.14893617,0.063829787,0.152496879,0.156673114,0.016342892,0.016342892,8,0.106382979
1,Alondra,Persuasive,3hqUkuC5Qn,0,1,0.021276596,0,0.021276596,3.55E-11,0,0,0,0,0.042553191
2,Alondra,Persuasive,7mbIhjLfDt,1,4,0.106382979,0.021276596,0.085106383,0.152496855,0.021276596,0.001156337,0.001156337,1,0.340425532
3,Alondra,Persuasive,7WTyBtV0WF,0,3,0.063829787,0,0.063829787,3.55E-11,0,0,0,0,0.170212766
4,Alondra,Persuasive,8FFaAiwKcb,3,1,0.085106383,0.063829787,0.021276596,3.44E-09,0.063829787,0.001156337,0.001156337,3,0.021276596
5,Alondra,Persuasive,8Ji9r6ATyR,0,5,0.106382979,0,0.106382979,3.55E-11,0,0,0,0,0.170212766
